subject_id,block_type,q2,q3,q4,q6,q9,q10,tab_key,session_id,total_damage_taken,total_shot_all,total_kill,total_death,total_shot_hit,total_engage,rocket_shot_hit,gun_shot_hit,self_kill,gender,race,trait_score,state_score,trust_score,mode_cluster,Age,Gender,Race,Education,Smote_frequently,Caffeine_Consumption,Q2_How long have you played games,Q3_how often do you currently play video games?,Q4_During the average week how many hours do you currently spend playing video games?,Q5_When you play video games how many hours do you usually spend playing,Q6_How skilled do you feel you are at playing video games,Q7_Please rate your experience playing video games on a scale of 1 (very inexperienced) to 7 (very experienced).,"Q8_Please rate each of the following game genres based on your preference, on a scale from 1 (Least Preferred) to 5 (Most Preferred). - First-person shooter","Q9_Please rate each of the following game genres based on your preference, on a scale from 1 (Least Preferred) to 5 (Most Preferred). - Realistic military","Q10_Please rate each of the following game genres based on your preference, on a scale from 1 (Least Preferred) to 5 (Most Preferred). - Driving or Racing","Q11_Please rate each of the following game genres based on your preference, on a scale from 1 (Least Preferred) to 5 (Most Preferred). - Strategy","Q12_Please rate each of the following game genres based on your preference, on a scale from 1 (Least Preferred) to 5 (Most Preferred). - Role-playing","Q13_Please rate each of the following game genres based on your preference, on a scale from 1 (Least Preferred) to 5 (Most Preferred). - Other",Q14_List the top 3 games you have played most frequently within the last 6 months - Top 1?,Q15_List the top 3 games you have played most frequently within the last 6 months - Top 2?,Q16_List the top 3 games you have played most frequently within the last 6 months - Top 3?,Q17_List any official gaming rankings that you currently have or have had in the past - Ranking,Q18_List any official gaming rankings that you currently have or have had in the past - Ranking,Q19_List any official gaming rankings that you currently have or have had in the past - Ranking,Q20,Q21_Do you currently play in a competitive gaming league?,Q22_Have you ever played in a competitive gaming league?,Q23_Have you recorded your number of wins?,Q24_How many wins?,Q25_Total number of competitions:,Q26_On a scale of 1 (never) to 4 (very often) indicate how often you have played the following genres of video games. A. Stimulation,Q27_On a scale of 1 (never) to 4 (very often) indicate how often you have played the following genres of video games. B. Strategy,Q28_On a scale of 1 (never) to 4 (very often) indicate how often you have played the following genres of video games. C. Action,Q29_On a scale of 1 (never) to 4 (very often) indicate how often you have played the following genres of video games. D. Role Playing,Q30_On a scale of 1 (never) to 4 (very often) indicate how often you have played the following genres of video games. E. Unclassified,Q2_What is the relationship between you and your teammate?,Q3_What is the relationship between you and opponent 1?,Q4_What is the relationship between you and opponent 2?
DKLQ,block_01,1,4,9,12,65,90,0,d682ff1b-4c8a-9dae-d9d5-4582be12e778,711.733395,155,4,8,25,23,3,22,0,Male,Black/African-American,37.0,32.0,98,1,18,Male,Black/African-American,GED,Never,A few times per week,10 or more years,Almost every day,10-15 hours,2-5 hours,Moderately skilled,6,5,3,5,4,5,1, ,Genshin Impact,Legend of Zelda: Breath of the Wild,Overwatch, , , ,No,No,No, , ,2,1,4,3,3,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.,This person is a friend. I know this person well and like them.
DKLQ,block_02,1,11,8,14,60,100,0,a8c25021-42f3-e12a-9934-d48ca28b88aa,1060.93859,96,5,13,20,22,9,11,0,Male,Black/African-American,37.0,32.0,98,1,18,Male,Black/African-American,GED,Never,A few times per week,10 or more years,Almost every day,10-15 hours,2-5 hours,Moderately skilled,6,5,3,5,4,5,1, ,Genshin Impact,Legend of Zelda: Breath of the Wild,Overwatch, , , ,No,No,No, , ,2,1,4,3,3,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.,This person is a friend. I know this person well and like them.
DKLQ,block_03,1,11,12,12,60,100,0,4ca89552-4100-084d-279e-7db3ac4df894,1036.735014,134,5,11,25,28,12,13,0,Male,Black/African-American,37.0,32.0,98,1,18,Male,Black/African-American,GED,Never,A few times per week,10 or more years,Almost every day,10-15 hours,2-5 hours,Moderately skilled,6,5,3,5,4,5,1, ,Genshin Impact,Legend of Zelda: Breath of the Wild,Overwatch, , , ,No,No,No, , ,2,1,4,3,3,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.,This person is a friend. I know this person well and like them.
DKLQ,block_04,1,11,6,15,65,100,0,f74ac41e-4abb-2c24-95ba-f6bd7a3aa0c5,1100.690293,149,3,11,18,25,7,11,0,Male,Black/African-American,37.0,32.0,98,1,18,Male,Black/African-American,GED,Never,A few times per week,10 or more years,Almost every day,10-15 hours,2-5 hours,Moderately skilled,6,5,3,5,4,5,1, ,Genshin Impact,Legend of Zelda: Breath of the Wild,Overwatch, , , ,No,No,No, , ,2,1,4,3,3,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.,This person is a friend. I know this person well and like them.
EDFR,block_01,4,7,9,14,12,59,0,81378b98-41c5-d358-1442-72be5ced37bb,240.0,39,0,4,3,7,1,2,0,Female,White/Caucasian,52.0,32.0,97,2,18,Female,White/Caucasian,GED,Never,Never,10 or more years,Almost every day,10-15 hours,2-5 hours,Moderately skilled,6,3,2,1,4,5,3,Fighting Games,Dishonored,Baldur's Gate 3,Terraria, , , ,No,No,No, , ,2,3,3,4,3,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.
EDFR,block_02,4,9,12,14,21,68,0,ca5139a6-4482-929d-9f37-54910b13f6a3,960.1057777,43,4,12,10,14,4,6,1,Female,White/Caucasian,52.0,32.0,97,2,18,Female,White/Caucasian,GED,Never,Never,10 or more years,Almost every day,10-15 hours,2-5 hours,Moderately skilled,6,3,2,1,4,5,3,Fighting Games,Dishonored,Baldur's Gate 3,Terraria, , , ,No,No,No, , ,2,3,3,4,3,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.
EDFR,block_03,4,11,12,16,23,78,0,b2c14a1f-48d5-3766-86db-52b27a73b13b,862.0718676,43,7,9,14,14,9,5,0,Female,White/Caucasian,52.0,32.0,97,2,18,Female,White/Caucasian,GED,Never,Never,10 or more years,Almost every day,10-15 hours,2-5 hours,Moderately skilled,6,3,2,1,4,5,3,Fighting Games,Dishonored,Baldur's Gate 3,Terraria, , , ,No,No,No, , ,2,3,3,4,3,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.
EDFR,block_04,4,13,13,15,11,69,0,4f300843-434e-188e-ca63-70a6fceb8f72,1047.006415,89,3,14,14,12,2,12,0,Female,White/Caucasian,52.0,32.0,97,2,18,Female,White/Caucasian,GED,Never,Never,10 or more years,Almost every day,10-15 hours,2-5 hours,Moderately skilled,6,3,2,1,4,5,3,Fighting Games,Dishonored,Baldur's Gate 3,Terraria, , , ,No,No,No, , ,2,3,3,4,3,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.
FTLD,block_01,2,4,4,5,80,50,23,9d7674db-4299-49f2-09ce-408ffebe1332,651.635117,178,15,5,56,28,8,48,0,Male,Asian,,,94,1,20,Male,Asian,GED,Never,Every day,10 or more years,Almost every day,10-15 hours,10-15 hours,Moderately skilled,6,5,4,3,4,2,1, ,Rocket League,League of Legends,Apex,GC3 (Rocket League),Bronze 2 (league),Platinum (Apex),Yes,Yes,No, , ,2,2,4,2,2,This person is a friend. I know this person well and like them.,This person is a friend. I know this person well and like them.,This person is a friend. I know this person well and like them.
FTLD,block_02,2,4,4,4,82,81,21,ff9c203a-415a-f596-d37a-289a55618e1a,671.739829,234,14,3,75,25,10,65,0,Male,Asian,,,94,1,20,Male,Asian,GED,Never,Every day,10 or more years,Almost every day,10-15 hours,10-15 hours,Moderately skilled,6,5,4,3,4,2,1, ,Rocket League,League of Legends,Apex,GC3 (Rocket League),Bronze 2 (league),Platinum (Apex),Yes,Yes,No, , ,2,2,4,2,2,This person is a friend. I know this person well and like them.,This person is a friend. I know this person well and like them.,This person is a friend. I know this person well and like them.
FTLD,block_03,2,4,3,3,95,98,28,da70cd6f-44d0-f518-f635-5fa866148670,703.615647,179,10,9,69,32,5,64,0,Male,Asian,,,94,1,20,Male,Asian,GED,Never,Every day,10 or more years,Almost every day,10-15 hours,10-15 hours,Moderately skilled,6,5,4,3,4,2,1, ,Rocket League,League of Legends,Apex,GC3 (Rocket League),Bronze 2 (league),Platinum (Apex),Yes,Yes,No, , ,2,2,4,2,2,This person is a friend. I know this person well and like them.,This person is a friend. I know this person well and like them.,This person is a friend. I know this person well and like them.
FTLD,block_04,2,3,3,4,100,96,38,f8e91c5d-40a0-bbcd-4b3f-869dc7f8073a,793.9190824,199,10,8,54,32,5,49,0,Male,Asian,,,94,1,20,Male,Asian,GED,Never,Every day,10 or more years,Almost every day,10-15 hours,10-15 hours,Moderately skilled,6,5,4,3,4,2,1, ,Rocket League,League of Legends,Apex,GC3 (Rocket League),Bronze 2 (league),Platinum (Apex),Yes,Yes,No, , ,2,2,4,2,2,This person is a friend. I know this person well and like them.,This person is a friend. I know this person well and like them.,This person is a friend. I know this person well and like them.
GTYU,block_01,1,2,10,12,100,100,17,9d7674db-4299-49f2-09ce-408ffebe1332,579.2257316,52,2,6,16,13,5,11,0,Male,Black/African-American,,,76,2,22,Male,Black/African-American,GED,Never,Rarely,10 or more years,Once or twice a week,10-15 hours,2-5 hours,Moderately skilled,7,4,1,4,3,4,5,Platforming,League of Legends,Valorant,Super Smash Bros, , , ,No,Yes,No, , ,1,2,3,2,4,This person is an acquaintance. I have spoken to this person before but do not know them well.,This person is an acquaintance. I have spoken to this person before but do not know them well.,This person is an acquaintance. I have spoken to this person before but do not know them well.
GTYU,block_02,1,2,4,4,100,100,13,ff9c203a-415a-f596-d37a-289a55618e1a,465.9096124,135,6,1,37,17,6,31,0,Male,Black/African-American,,,76,2,22,Male,Black/African-American,GED,Never,Rarely,10 or more years,Once or twice a week,10-15 hours,2-5 hours,Moderately skilled,7,4,1,4,3,4,5,Platforming,League of Legends,Valorant,Super Smash Bros, , , ,No,Yes,No, , ,1,2,3,2,4,This person is an acquaintance. I have spoken to this person before but do not know them well.,This person is an acquaintance. I have spoken to this person before but do not know them well.,This person is an acquaintance. I have spoken to this person before but do not know them well.
GTYU,block_03,1,2,2,20,100,100,12,da70cd6f-44d0-f518-f635-5fa866148670,452.717952,113,5,1,37,24,8,29,0,Male,Black/African-American,,,76,2,22,Male,Black/African-American,GED,Never,Rarely,10 or more years,Once or twice a week,10-15 hours,2-5 hours,Moderately skilled,7,4,1,4,3,4,5,Platforming,League of Legends,Valorant,Super Smash Bros, , , ,No,Yes,No, , ,1,2,3,2,4,This person is an acquaintance. I have spoken to this person before but do not know them well.,This person is an acquaintance. I have spoken to this person before but do not know them well.,This person is an acquaintance. I have spoken to this person before but do not know them well.
GTYU,block_04,1,2,2,2,100,100,12,f8e91c5d-40a0-bbcd-4b3f-869dc7f8073a,571.5278074,184,8,4,41,24,3,38,0,Male,Black/African-American,,,76,2,22,Male,Black/African-American,GED,Never,Rarely,10 or more years,Once or twice a week,10-15 hours,2-5 hours,Moderately skilled,7,4,1,4,3,4,5,Platforming,League of Legends,Valorant,Super Smash Bros, , , ,No,Yes,No, , ,1,2,3,2,4,This person is an acquaintance. I have spoken to this person before but do not know them well.,This person is an acquaintance. I have spoken to this person before but do not know them well.,This person is an acquaintance. I have spoken to this person before but do not know them well.
HGFD,block_01,4,13,6,11,10,62,0,9e78a544-4fad-2033-7311-4f8a28b2f34f,1060.729499,137,3,16,16,20,6,10,0,Male,Black/African-American,56.0,35.0,96,1,21,Male,Black/African-American,Undergraduate,Never,Rarely,10 or more years,Once or twice a week,2-5 hours,Less than 2 hours,Moderately skilled,6,5,4,3,5,3,1, ,Pubg,COD Mobile ,Rocket League,Platinium in pubg,Master in COD,Town hall 10 in clash of clans,Yes,Yes,No, , ,2,3,4,2,4,This person is a stranger. I am meeting them for the 1st time today.,This person is a friend. I know this person well and like them.,This person is a stranger. I am meeting them for the 1st time today.
HGFD,block_02,4,6,9,11,36,72,3,505ab3c0-4bfb-f248-a0ff-53be350d22d6,1146.781038,130,5,18,21,23,6,15,0,Male,Black/African-American,56.0,35.0,96,1,21,Male,Black/African-American,Undergraduate,Never,Rarely,10 or more years,Once or twice a week,2-5 hours,Less than 2 hours,Moderately skilled,6,5,4,3,5,3,1, ,Pubg,COD Mobile ,Rocket League,Platinium in pubg,Master in COD,Town hall 10 in clash of clans,Yes,Yes,No, , ,2,3,4,2,4,This person is a stranger. I am meeting them for the 1st time today.,This person is a friend. I know this person well and like them.,This person is a stranger. I am meeting them for the 1st time today.
HGFD,block_03,4,8,13,11,23,69,0,e27612de-4620-d131-fe94-1d8df7bf34e9,1050.89235,104,2,15,7,20,2,5,1,Male,Black/African-American,56.0,35.0,96,1,21,Male,Black/African-American,Undergraduate,Never,Rarely,10 or more years,Once or twice a week,2-5 hours,Less than 2 hours,Moderately skilled,6,5,4,3,5,3,1, ,Pubg,COD Mobile ,Rocket League,Platinium in pubg,Master in COD,Town hall 10 in clash of clans,Yes,Yes,No, , ,2,3,4,2,4,This person is a stranger. I am meeting them for the 1st time today.,This person is a friend. I know this person well and like them.,This person is a stranger. I am meeting them for the 1st time today.
HGFD,block_04,4,16,11,10,54,85,0,5d02a094-4bec-a7f8-e7d4-979a9b28ba7c,1135.403021,136,5,14,11,21,5,6,0,Male,Black/African-American,56.0,35.0,96,1,21,Male,Black/African-American,Undergraduate,Never,Rarely,10 or more years,Once or twice a week,2-5 hours,Less than 2 hours,Moderately skilled,6,5,4,3,5,3,1, ,Pubg,COD Mobile ,Rocket League,Platinium in pubg,Master in COD,Town hall 10 in clash of clans,Yes,Yes,No, , ,2,3,4,2,4,This person is a stranger. I am meeting them for the 1st time today.,This person is a friend. I know this person well and like them.,This person is a stranger. I am meeting them for the 1st time today.
HJKL,block_01,3,8,6,4,52,50,4,9d7674db-4299-49f2-09ce-408ffebe1332,781.436597,154,6,7,30,24,0,30,0,Female,Hispanic/Latino,,,103,3,20,Female,Hispanic/Latino,GED,Never,A few times per month,10 or more years,Almost every day,8-10 hours,2-5 hours,Moderately skilled,5,4,2,4,4,1,1, ,rainbow six siege ,fornite,black ops 3,bronze ,60,prestige 8,No,No,No, , ,1,3,4,4,4,This person is an acquaintance. I have spoken to this person before but do not know them well.,This person is a friend. I know this person well and like them.,This person is a stranger. I am meeting them for the 1st time today.
HJKL,block_02,3,11,8,8,40,32,3,ff9c203a-415a-f596-d37a-289a55618e1a,1012.713674,175,2,12,23,21,2,21,0,Female,Hispanic/Latino,,,103,3,20,Female,Hispanic/Latino,GED,Never,A few times per month,10 or more years,Almost every day,8-10 hours,2-5 hours,Moderately skilled,5,4,2,4,4,1,1, ,rainbow six siege ,fornite,black ops 3,bronze ,60,prestige 8,No,No,No, , ,1,3,4,4,4,This person is an acquaintance. I have spoken to this person before but do not know them well.,This person is a friend. I know this person well and like them.,This person is a stranger. I am meeting them for the 1st time today.
HJKL,block_03,3,2,2,5,50,54,1,da70cd6f-44d0-f518-f635-5fa866148670,996.1481252,176,6,11,35,27,0,35,0,Female,Hispanic/Latino,,,103,3,20,Female,Hispanic/Latino,GED,Never,A few times per month,10 or more years,Almost every day,8-10 hours,2-5 hours,Moderately skilled,5,4,2,4,4,1,1, ,rainbow six siege ,fornite,black ops 3,bronze ,60,prestige 8,No,No,No, , ,1,3,4,4,4,This person is an acquaintance. I have spoken to this person before but do not know them well.,This person is a friend. I know this person well and like them.,This person is a stranger. I am meeting them for the 1st time today.
HJKL,block_04,3,1,1,3,60,89,0,f8e91c5d-40a0-bbcd-4b3f-869dc7f8073a,767.916592,138,3,8,31,18,0,31,0,Female,Hispanic/Latino,,,103,3,20,Female,Hispanic/Latino,GED,Never,A few times per month,10 or more years,Almost every day,8-10 hours,2-5 hours,Moderately skilled,5,4,2,4,4,1,1, ,rainbow six siege ,fornite,black ops 3,bronze ,60,prestige 8,No,No,No, , ,1,3,4,4,4,This person is an acquaintance. I have spoken to this person before but do not know them well.,This person is a friend. I know this person well and like them.,This person is a stranger. I am meeting them for the 1st time today.
