Subject_id,Computer_name,Block_type,Date,Session_id,Match_start,Match_end,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
DFGH,reptile_gila,pre_survey_game_familiarity,,,,,3,1,1,,,,,,
DFGH,reptile_gila,block_01,2024-04-09,81378b98-41c5-d358-1442-72be5ced37bb,2024-04-09 15:25:24.122564-04:00,2024-04-09 15:35:39.881001-04:00,2,5,8,15,6,100,4,38,91
DFGH,reptile_gila,block_02,2024-04-09,ca5139a6-4482-929d-9f37-54910b13f6a3,2024-04-09 15:41:12.594259-04:00,2024-04-09 15:51:28.226923-04:00,2,9,5,19,5,91,6,68,90
DFGH,reptile_gila,block_03,2024-04-09,b2c14a1f-48d5-3766-86db-52b27a73b13b,2024-04-09 15:57:50.375414-04:00,2024-04-09 16:08:05.546501-04:00,2,12,9,19,9,91,4,50,89
DFGH,reptile_gila,block_04,2024-04-09,4f300843-434e-188e-ca63-70a6fceb8f72,2024-04-09 16:13:54.698624-04:00,2024-04-09 16:24:09.941301-04:00,2,8,6,19,7,94,5,82,94
DFZX,reptile_gila,pre_survey_game_familiarity,,,,,1,1,1,,,,,,
DFZX,reptile_gila,block_01,2024-04-09,9e78a544-4fad-2033-7311-4f8a28b2f34f,2024-04-09 12:45:55.566185-04:00,2024-04-09 12:56:11.552493-04:00,2,1,1,20,1,91,1,100,100
DFZX,reptile_gila,block_02,2024-04-09,505ab3c0-4bfb-f248-a0ff-53be350d22d6,2024-04-09 13:00:27.405583-04:00,2024-04-09 13:10:42.868378-04:00,2,1,1,18,1,95,1,100,100
DFZX,reptile_gila,block_03,2024-04-09,e27612de-4620-d131-fe94-1d8df7bf34e9,2024-04-09 13:15:14.374021-04:00,2024-04-09 13:25:29.235641-04:00,2,1,1,20,1,100,1,100,100
DFZX,reptile_gila,block_04,2024-04-09,5d02a094-4bec-a7f8-e7d4-979a9b28ba7c,2024-04-09 13:29:13.404374-04:00,2024-04-09 13:39:30.583512-04:00,2,1,1,20,1,100,1,100,100
DKLQ,reptile_komodo,pre_survey_game_familiarity,,,,,1,1,3,,,,,,
DKLQ,reptile_komodo,block_01,2024-03-05,d682ff1b-4c8a-9dae-d9d5-4582be12e778,2024-03-05 13:58:16.141846-05:00,2024-03-05 14:08:31.532598-05:00,1,4,9,20,12,100,12,65,90
DKLQ,reptile_komodo,block_02,2024-03-05,a8c25021-42f3-e12a-9934-d48ca28b88aa,2024-03-05 14:12:58.312074-05:00,2024-03-05 14:23:18.954013-05:00,1,11,8,20,14,100,13,60,100
DKLQ,reptile_komodo,block_03,2024-03-05,4ca89552-4100-084d-279e-7db3ac4df894,2024-03-05 14:29:03.133666-05:00,2024-03-05 14:39:18.350255-05:00,1,11,12,20,12,100,12,60,100
DKLQ,reptile_komodo,block_04,2024-03-05,f74ac41e-4abb-2c24-95ba-f6bd7a3aa0c5,2024-03-05 14:42:49.125351-05:00,2024-03-05 14:53:04.736432-05:00,1,11,6,20,15,100,11,65,100
EDFR,mammal_panda,pre_survey_game_familiarity,,,,,1,1,1,,,,,,
EDFR,mammal_panda,block_01,2024-04-09,81378b98-41c5-d358-1442-72be5ced37bb,2024-04-09 15:25:24.122564-04:00,2024-04-09 15:35:39.881001-04:00,4,7,9,9,14,54,14,12,59
EDFR,mammal_panda,block_02,2024-04-09,ca5139a6-4482-929d-9f37-54910b13f6a3,2024-04-09 15:41:12.594259-04:00,2024-04-09 15:51:28.226923-04:00,4,9,12,15,14,80,13,21,68
EDFR,mammal_panda,block_03,2024-04-09,b2c14a1f-48d5-3766-86db-52b27a73b13b,2024-04-09 15:57:50.375414-04:00,2024-04-09 16:08:05.546501-04:00,4,11,12,17,16,83,17,23,78
EDFR,mammal_panda,block_04,2024-04-09,4f300843-434e-188e-ca63-70a6fceb8f72,2024-04-09 16:13:54.698624-04:00,2024-04-09 16:24:09.941301-04:00,4,13,13,17,15,73,15,11,69
FTLD,reptile_gila,pre_survey_game_familiarity,,,,,3,3,3,,,,,,
FTLD,reptile_gila,block_01,2024-01-31,9d7674db-4299-49f2-09ce-408ffebe1332,2024-01-31 15:06:02.586030-05:00,2024-01-31 15:16:18.587999-05:00,2,4,4,16,5,67,3,80,50
FTLD,reptile_gila,block_02,2024-01-31,ff9c203a-415a-f596-d37a-289a55618e1a,2024-01-31 15:20:54.914018-05:00,2024-01-31 15:31:10.212231-05:00,2,4,4,16,4,87,4,82,81
FTLD,reptile_gila,block_03,2024-01-31,da70cd6f-44d0-f518-f635-5fa866148670,2024-01-31 15:35:51.706503-05:00,2024-01-31 15:46:07.790447-05:00,2,4,3,18,3,89,3,95,98
FTLD,reptile_gila,block_04,2024-01-31,f8e91c5d-40a0-bbcd-4b3f-869dc7f8073a,2024-01-31 15:49:42.651635-05:00,2024-01-31 16:00:01.232420-05:00,2,3,3,19,4,96,1,100,96
GHJK,reptile_gila,pre_survey_game_familiarity,,,,,1,1,1,,,,,,
GHJK,reptile_gila,block_01,2024-03-26,,,,2,6,12,20,11,100,10,85,100
GHJK,reptile_gila,block_02,2024-03-26,,,,2,14,17,20,15,100,15,64,100
GHJK,reptile_gila,block_03,2024-03-26,,,,2,14,13,20,13,100,14,85,100
GHJK,reptile_gila,block_04,2024-03-26,,,,2,15,13,20,8,100,14,100,100
GTYU,reptile_komodo,pre_survey_game_familiarity,,,,,2,2,2,,,,,,
GTYU,reptile_komodo,block_01,2024-01-31,9d7674db-4299-49f2-09ce-408ffebe1332,2024-01-31 15:06:02.586030-05:00,2024-01-31 15:16:18.587999-05:00,1,2,10,20,12,100,5,100,100
GTYU,reptile_komodo,block_02,2024-01-31,ff9c203a-415a-f596-d37a-289a55618e1a,2024-01-31 15:20:54.914018-05:00,2024-01-31 15:31:10.212231-05:00,1,2,4,20,4,100,2,100,100
GTYU,reptile_komodo,block_03,2024-01-31,da70cd6f-44d0-f518-f635-5fa866148670,2024-01-31 15:35:51.706503-05:00,2024-01-31 15:46:07.790447-05:00,1,2,2,20,20,100,1,100,100
GTYU,reptile_komodo,block_04,2024-01-31,f8e91c5d-40a0-bbcd-4b3f-869dc7f8073a,2024-01-31 15:49:42.651635-05:00,2024-01-31 16:00:01.232420-05:00,1,2,2,20,2,100,2,100,100
HGFD,mammal_panda,pre_survey_game_familiarity,,,,,1,3,1,,,,,,
HGFD,mammal_panda,block_01,2024-04-09,9e78a544-4fad-2033-7311-4f8a28b2f34f,2024-04-09 12:45:55.566185-04:00,2024-04-09 12:56:11.552493-04:00,4,13,6,11,11,55,15,10,62
HGFD,mammal_panda,block_02,2024-04-09,505ab3c0-4bfb-f248-a0ff-53be350d22d6,2024-04-09 13:00:27.405583-04:00,2024-04-09 13:10:42.868378-04:00,4,6,9,14,11,65,14,36,72
HGFD,mammal_panda,block_03,2024-04-09,e27612de-4620-d131-fe94-1d8df7bf34e9,2024-04-09 13:15:14.374021-04:00,2024-04-09 13:25:29.235641-04:00,4,8,13,14,11,64,16,23,69
HGFD,mammal_panda,block_04,2024-04-09,5d02a094-4bec-a7f8-e7d4-979a9b28ba7c,2024-04-09 13:29:13.404374-04:00,2024-04-09 13:39:30.583512-04:00,4,16,11,16,10,79,8,54,85
HJKL,mammal_thylacine,pre_survey_game_familiarity,,,,,2,3,1,,,,,,
HJKL,mammal_thylacine,block_01,2024-01-31,9d7674db-4299-49f2-09ce-408ffebe1332,2024-01-31 15:06:02.586030-05:00,2024-01-31 15:16:18.587999-05:00,3,8,6,10,4,53,2,52,50
HJKL,mammal_thylacine,block_02,2024-01-31,ff9c203a-415a-f596-d37a-289a55618e1a,2024-01-31 15:20:54.914018-05:00,2024-01-31 15:31:10.212231-05:00,3,11,8,4,8,39,9,40,32
HJKL,mammal_thylacine,block_03,2024-01-31,da70cd6f-44d0-f518-f635-5fa866148670,2024-01-31 15:35:51.706503-05:00,2024-01-31 15:46:07.790447-05:00,3,2,2,10,5,68,2,50,54
HJKL,mammal_thylacine,block_04,2024-01-31,f8e91c5d-40a0-bbcd-4b3f-869dc7f8073a,2024-01-31 15:49:42.651635-05:00,2024-01-31 16:00:01.232420-05:00,3,1,1,12,3,69,2,60,89
HPLX,mammal_thylacine,pre_survey_game_familiarity,,,,,1,1,1,,,,,,
HPLX,mammal_thylacine,block_01,2024-04-09,81378b98-41c5-d358-1442-72be5ced37bb,2024-04-09 15:25:24.122564-04:00,2024-04-09 15:35:39.881001-04:00,3,13,15,15,11,85,10,50,86
HPLX,mammal_thylacine,block_02,2024-04-09,ca5139a6-4482-929d-9f37-54910b13f6a3,2024-04-09 15:41:12.594259-04:00,2024-04-09 15:51:28.226923-04:00,3,17,17,17,17,86,13,87,85
HPLX,mammal_thylacine,block_03,2024-04-09,b2c14a1f-48d5-3766-86db-52b27a73b13b,2024-04-09 15:57:50.375414-04:00,2024-04-09 16:08:05.546501-04:00,3,18,16,19,17,90,16,65,85
HPLX,mammal_thylacine,block_04,2024-04-09,4f300843-434e-188e-ca63-70a6fceb8f72,2024-04-09 16:13:54.698624-04:00,2024-04-09 16:24:09.941301-04:00,3,4,6,18,11,87,10,87,87
JHGF,mammal_panda,pre_survey_game_familiarity,,,,,1,1,1,,,,,,
JHGF,mammal_panda,block_01,2024-03-06,85a5023a-4976-0721-23b2-028c85a483dd,2024-03-06 13:26:26.617466-05:00,2024-03-06 13:36:42.000566-05:00,4,16,15,15,15,81,12,4,80
JHGF,mammal_panda,block_02,2024-03-06,32143347-4542-7282-6c5b-b7b56e6a33c5,2024-03-06 13:42:57.110688-05:00,2024-03-06 13:53:13.359943-05:00,4,17,15,17,19,82,10,3,81
JHGF,mammal_panda,block_03,2024-03-06,dd256e2a-4e9a-fe7f-54b8-66bfb1d5fa7e,2024-03-06 13:57:21.312206-05:00,2024-03-06 14:07:37.711329-05:00,4,13,12,14,14,73,7,3,90
JHGF,mammal_panda,block_04,2024-03-06,0f012d24-4034-4c67-7810-53878af71db6,2024-03-06 14:13:40.557008-05:00,2024-03-06 14:23:56.074452-05:00,4,13,11,15,15,82,10,40,90
JKLZ,reptile_komodo,pre_survey_game_familiarity,,,,,1,1,1,,,,,,
JKLZ,reptile_komodo,block_01,2024-03-14,,,,1,7,7,15,6,81,4,87,81
JKLZ,reptile_komodo,block_02,2024-03-14,,,,1,5,6,19,4,90,3,95,94
JKLZ,reptile_komodo,block_03,2024-03-14,,,,1,5,5,19,2,95,3,100,94
JKLZ,reptile_komodo,block_04,2024-03-14,,,,1,4,3,20,3,98,2,89,95
KJHG,reptile_komodo,pre_survey_game_familiarity,,,,,1,1,1,,,,,,
KJHG,reptile_komodo,block_01,2024-04-03,6c8bd420-4c9d-706d-8454-94b39efeea8c,2024-04-03 15:47:26.188356-04:00,2024-04-03 15:57:43.712641-04:00,1,3,8,10,2,50,3,81,25
KJHG,reptile_komodo,block_02,2024-04-03,d108dce9-483b-883f-c89d-ccb85c4b4452,2024-04-03 16:04:37.437835-04:00,2024-04-03 16:14:53.087238-04:00,1,8,14,4,9,10,5,10,15
KJHG,reptile_komodo,block_03,2024-04-03,b6fe0b45-4b33-78f5-6ba6-31bd4383eb57,2024-04-03 16:19:17.222681-04:00,2024-04-03 16:29:32.498722-04:00,1,4,14,1,14,19,1,20,10
KJHG,reptile_komodo,block_04,2024-04-03,f916980f-4c87-8c5d-4e73-9e8eb6e76bc1,2024-04-03 16:33:27.107973-04:00,2024-04-03 16:43:42.882746-04:00,1,4,7,4,4,21,3,91,20
LKJH,mammal_thylacine,pre_survey_game_familiarity,,,,,3,1,1,,,,,,
LKJH,mammal_thylacine,block_01,2024-04-16,1263e8ef-4b1f-9a88-a07b-85971cac44ab,2024-04-16 10:57:55.237102-04:00,2024-04-16 11:08:10.982526-04:00,3,3,3,11,6,11,10,57,73
LKJH,mammal_thylacine,block_02,2024-04-16,6ee85647-4297-186c-24fa-c4970441459c,2024-04-16 11:12:32.018475-04:00,2024-04-16 11:22:47.387228-04:00,3,2,4,10,6,56,10,75,57
LKJH,mammal_thylacine,block_03,2024-04-16,b8103d26-48b2-edb7-9cf6-febff2e0b27b,2024-04-16 11:27:04.499339-04:00,2024-04-16 11:37:19.733358-04:00,3,6,6,9,12,28,10,34,35
LKJH,mammal_thylacine,block_04,2024-04-16,7dcb719f-46a8-2478-bac5-4da70d64241f,2024-04-16 11:41:35.548627-04:00,2024-04-16 11:51:51.212965-04:00,3,6,13,2,6,11,8,21,61
LKMN,mammal_panda,pre_survey_game_familiarity,,,,,1,1,1,,,,,,
LKMN,mammal_panda,block_01,2024-04-10,fff26c4d-43e8-7f61-fd2b-5782e7e5534a,2024-04-10 15:32:42.993256-04:00,2024-04-10 15:42:58.054943-04:00,4,7,14,10,15,60,8,10,60
LKMN,mammal_panda,block_02,2024-04-10,5f37dd81-4a8f-f82f-c1a4-989ea7e3cc0d,2024-04-10 15:48:53.514967-04:00,2024-04-10 15:59:09.385737-04:00,4,5,6,13,9,72,10,70,70
LKMN,mammal_panda,block_03,2024-04-10,39593e97-4ced-1883-561b-c1981864c0f2,2024-04-10 16:02:52.761861-04:00,2024-04-10 16:13:08.723667-04:00,4,6,5,13,6,70,6,20,65
LKMN,mammal_panda,block_04,2024-04-10,663178b4-4750-34d4-90da-7cb074beb55e,2024-04-10 16:17:10.545409-04:00,2024-04-10 16:27:26.081931-04:00,4,6,4,15,7,80,6,60,76
LKPW,mammal_thylacine,pre_survey_game_familiarity,,,,,1,1,1,,,,,,
LKPW,mammal_thylacine,block_01,2024-02-21,ab54cf6b-4602-187d-4dbf-308f2571bdbb,2024-02-21 11:04:33.933170-05:00,2024-02-21 11:14:51.559857-05:00,3,7,6,13,13,62,7,21,63
LKPW,mammal_thylacine,block_02,2024-02-21,69d133a0-4a25-7ea2-81fb-2883be8d8185,2024-02-21 11:20:37.724183-05:00,2024-02-21 11:30:54.977712-05:00,3,8,7,13,15,62,10,11,51
LKPW,mammal_thylacine,block_03,2024-02-21,3ff660ba-4d88-cf89-379c-6fa45712769a,2024-02-21 11:34:24.978245-05:00,2024-02-21 11:44:41.321190-05:00,3,10,9,14,15,62,10,10,61
LKPW,mammal_thylacine,block_04,2024-02-21,87069e81-4953-3251-444b-88a144ec20b5,2024-02-21 11:48:22.906621-05:00,2024-02-21 11:58:38.671666-05:00,3,10,10,14,14,61,10,21,61
LPDW,mammal_panda,pre_survey_game_familiarity,,,,,1,1,1,,,,,,
LPDW,mammal_panda,block_01,2024-03-26,,,,4,11,12,15,10,61,6,11,60
LPDW,mammal_panda,block_02,2024-03-26,,,,4,13,14,18,10,83,5,17,74
LPDW,mammal_panda,block_03,2024-03-26,,,,4,12,12,18,13,96,7,38,91
LPDW,mammal_panda,block_04,2024-03-26,,,,4,12,15,19,15,98,7,0,90
LPZV,mammal_thylacine,pre_survey_game_familiarity,,,,,1,1,1,,,,,,
LPZV,mammal_thylacine,block_01,2024-03-13,6a0b7489-4997-a37e-d69c-38ab276c14cd,2024-03-13 16:29:52.668457-04:00,2024-03-13 16:40:09.133874-04:00,3,13,10,18,15,95,10,40,80
LPZV,mammal_thylacine,block_02,2024-03-13,95b311f5-4446-507a-907e-07b9160fc694,2024-03-13 16:44:37.260606-04:00,2024-03-13 16:54:52.478340-04:00,3,12,9,20,10,90,8,75,90
LPZV,mammal_thylacine,block_03,2024-03-13,15f350b5-46bc-916a-4e48-529cd8813848,2024-03-13 16:58:46.618860-04:00,2024-03-13 17:09:03.914820-04:00,3,15,10,17,10,90,10,70,80
LPZV,mammal_thylacine,block_04,2024-03-13,01c80c4d-46c8-45f5-d583-0281844f2f5d,2024-03-13 17:12:52.499283-04:00,2024-03-13 17:23:11.285143-04:00,3,10,10,16,13,70,10,71,65
LRTB,mammal_thylacine,pre_survey_game_familiarity,,,,,1,1,1,,,,,,
LRTB,mammal_thylacine,block_01,2024-03-06,85a5023a-4976-0721-23b2-028c85a483dd,2024-03-06 13:26:26.617466-05:00,2024-03-06 13:36:42.000566-05:00,3,11,7,7,13,51,6,51,30
LRTB,mammal_thylacine,block_02,2024-03-06,32143347-4542-7282-6c5b-b7b56e6a33c5,2024-03-06 13:42:57.110688-05:00,2024-03-06 13:53:13.359943-05:00,3,10,8,5,14,14,9,34,15
LRTB,mammal_thylacine,block_03,2024-03-06,dd256e2a-4e9a-fe7f-54b8-66bfb1d5fa7e,2024-03-06 13:57:21.312206-05:00,2024-03-06 14:07:37.711329-05:00,3,13,9,5,13,25,9,13,13
LRTB,mammal_thylacine,block_04,2024-03-06,0f012d24-4034-4c67-7810-53878af71db6,2024-03-06 14:13:40.557008-05:00,2024-03-06 14:23:56.074452-05:00,3,10,7,7,10,29,9,49,27
MJKL,mammal_thylacine,pre_survey_game_familiarity,,,,,1,1,1,,,,,,
MJKL,mammal_thylacine,block_01,2024-04-09,9e78a544-4fad-2033-7311-4f8a28b2f34f,2024-04-09 12:45:55.566185-04:00,2024-04-09 12:56:11.552493-04:00,3,11,10,4,12,5,10,8,9
MJKL,mammal_thylacine,block_02,2024-04-09,505ab3c0-4bfb-f248-a0ff-53be350d22d6,2024-04-09 13:00:27.405583-04:00,2024-04-09 13:10:42.868378-04:00,3,11,11,4,12,10,8,10,15
MJKL,mammal_thylacine,block_03,2024-04-09,e27612de-4620-d131-fe94-1d8df7bf34e9,2024-04-09 13:15:14.374021-04:00,2024-04-09 13:25:29.235641-04:00,3,10,11,4,12,15,7,15,21
MJKL,mammal_thylacine,block_04,2024-04-09,5d02a094-4bec-a7f8-e7d4-979a9b28ba7c,2024-04-09 13:29:13.404374-04:00,2024-04-09 13:39:30.583512-04:00,3,11,7,8,10,30,11,40,40
MJUY,mammal_panda,pre_survey_game_familiarity,,,,,1,1,1,,,,,,
MJUY,mammal_panda,block_01,2024-03-13,6a0b7489-4997-a37e-d69c-38ab276c14cd,2024-03-13 16:29:52.668457-04:00,2024-03-13 16:40:09.133874-04:00,4,12,15,11,14,40,6,13,50
MJUY,mammal_panda,block_02,2024-03-13,95b311f5-4446-507a-907e-07b9160fc694,2024-03-13 16:44:37.260606-04:00,2024-03-13 16:54:52.478340-04:00,4,13,7,14,12,60,7,39,54
MJUY,mammal_panda,block_03,2024-03-13,15f350b5-46bc-916a-4e48-529cd8813848,2024-03-13 16:58:46.618860-04:00,2024-03-13 17:09:03.914820-04:00,4,12,13,14,14,71,3,35,70
MJUY,mammal_panda,block_04,2024-03-13,01c80c4d-46c8-45f5-d583-0281844f2f5d,2024-03-13 17:12:52.499283-04:00,2024-03-13 17:23:11.285143-04:00,4,13,16,13,15,44,9,34,62
MNBW,reptile_komodo,pre_survey_game_familiarity,,,,,1,1,1,,,,,,
MNBW,reptile_komodo,block_01,2024-03-26,,,,1,4,3,12,3,67,1,80,82
MNBW,reptile_komodo,block_02,2024-03-26,,,,1,7,8,15,7,85,3,70,80
MNBW,reptile_komodo,block_03,2024-03-26,,,,1,9,10,17,10,80,2,65,86
MNBW,reptile_komodo,block_04,2024-03-26,,,,1,5,2,19,2,95,2,95,96
MNOP,mammal_thylacine,pre_survey_game_familiarity,,,,,1,1,1,,,,,,
MNOP,mammal_thylacine,block_01,2024-04-10,fff26c4d-43e8-7f61-fd2b-5782e7e5534a,2024-04-10 15:32:42.993256-04:00,2024-04-10 15:42:58.054943-04:00,3,11,14,10,13,65,10,25,50
MNOP,mammal_thylacine,block_02,2024-04-10,5f37dd81-4a8f-f82f-c1a4-989ea7e3cc0d,2024-04-10 15:48:53.514967-04:00,2024-04-10 15:59:09.385737-04:00,3,12,11,13,11,70,10,35,70
MNOP,mammal_thylacine,block_03,2024-04-10,39593e97-4ced-1883-561b-c1981864c0f2,2024-04-10 16:02:52.761861-04:00,2024-04-10 16:13:08.723667-04:00,3,11,12,14,13,70,11,35,70
MNOP,mammal_thylacine,block_04,2024-04-10,663178b4-4750-34d4-90da-7cb074beb55e,2024-04-10 16:17:10.545409-04:00,2024-04-10 16:27:26.081931-04:00,3,9,10,15,13,80,10,35,80
MTYH,reptile_gila,pre_survey_game_familiarity,,,,,1,1,1,,,,,,
MTYH,reptile_gila,block_01,2024-02-21,ab54cf6b-4602-187d-4dbf-308f2571bdbb,2024-02-21 11:04:33.933170-05:00,2024-02-21 11:14:51.559857-05:00,2,7,3,15,1,100,1,30,91
MTYH,reptile_gila,block_02,2024-02-21,69d133a0-4a25-7ea2-81fb-2883be8d8185,2024-02-21 11:20:37.724183-05:00,2024-02-21 11:30:54.977712-05:00,2,5,1,20,5,100,1,30,100
MTYH,reptile_gila,block_03,2024-02-21,3ff660ba-4d88-cf89-379c-6fa45712769a,2024-02-21 11:34:24.978245-05:00,2024-02-21 11:44:41.321190-05:00,2,3,1,20,1,100,1,40,100
MTYH,reptile_gila,block_04,2024-02-21,87069e81-4953-3251-444b-88a144ec20b5,2024-02-21 11:48:22.906621-05:00,2024-02-21 11:58:38.671666-05:00,2,1,1,20,1,100,1,35,100
NMBV,reptile_gila,pre_survey_game_familiarity,,,,,1,3,1,,,,,,
NMBV,reptile_gila,block_01,2024-03-14,,,,2,9,11,18,11,94,10,100,100
NMBV,reptile_gila,block_02,2024-03-14,,,,2,16,13,20,14,100,13,57,100
NMBV,reptile_gila,block_03,2024-03-14,,,,2,12,10,20,12,100,10,91,100
NMBV,reptile_gila,block_04,2024-03-14,,,,2,11,11,20,14,100,20,71,100
OPKJ,mammal_thylacine,pre_survey_game_familiarity,,,,,1,1,1,,,,,,
OPKJ,mammal_thylacine,block_01,2024-03-26,,,,3,12,9,9,14,43,12,61,51
OPKJ,mammal_thylacine,block_02,2024-03-26,,,,3,11,9,8,10,39,11,75,41
OPKJ,mammal_thylacine,block_03,2024-03-26,,,,3,11,10,10,11,52,11,62,51
OPKJ,mammal_thylacine,block_04,2024-03-26,,,,3,11,13,11,12,53,11,37,53
PKJH,reptile_gila,pre_survey_game_familiarity,,,,,1,1,1,,,,,,
PKJH,reptile_gila,block_01,2024-02-29,c5bb93cd-4cce-11d8-6d58-2e9e469acb71,2024-02-29 13:58:29.569453-05:00,2024-02-29 14:09:14.265674-05:00,2,2,2,11,2,54,1,91,52
PKJH,reptile_gila,block_02,2024-02-29,719e2eb0-4197-b167-41f9-8db24f75b605,2024-02-29 14:15:19.896452-05:00,2024-02-29 14:25:38.599553-05:00,2,3,5,5,7,30,12,69,30
PKJH,reptile_gila,block_03,2024-02-29,f85b8323-4ca7-ee3c-bb78-94b36cadb805,2024-02-29 14:30:09.862440-05:00,2024-02-29 14:40:26.996906-05:00,2,2,2,7,3,41,5,98,54
PKJH,reptile_gila,block_04,2024-02-29,0538e108-4c09-5ff7-ab2b-959e4a36ad6b,2024-02-29 14:44:56.836748-05:00,2024-02-29 14:55:13.438114-05:00,2,4,4,10,3,39,7,53,37
QAXY,mammal_thylacine,pre_survey_game_familiarity,,,,,1,3,1,,,,,,
QAXY,mammal_thylacine,block_01,2024-03-05,d682ff1b-4c8a-9dae-d9d5-4582be12e778,2024-03-05 13:58:16.141846-05:00,2024-03-05 14:08:31.532598-05:00,3,8,10,16,13,90,5,85,75
QAXY,mammal_thylacine,block_02,2024-03-05,a8c25021-42f3-e12a-9934-d48ca28b88aa,2024-03-05 14:12:58.312074-05:00,2024-03-05 14:23:18.954013-05:00,3,13,14,14,9,80,8,91,82
QAXY,mammal_thylacine,block_03,2024-03-05,4ca89552-4100-084d-279e-7db3ac4df894,2024-03-05 14:29:03.133666-05:00,2024-03-05 14:39:18.350255-05:00,3,9,14,15,12,75,7,85,80
QAXY,mammal_thylacine,block_04,2024-03-05,f74ac41e-4abb-2c24-95ba-f6bd7a3aa0c5,2024-03-05 14:42:49.125351-05:00,2024-03-05 14:53:04.736432-05:00,3,7,8,15,10,81,6,80,81
QAZW,reptile_gila,pre_survey_game_familiarity,,,,,1,1,1,,,,,,
QAZW,reptile_gila,block_01,2024-04-16,1263e8ef-4b1f-9a88-a07b-85971cac44ab,2024-04-16 10:57:55.237102-04:00,2024-04-16 11:08:10.982526-04:00,2,8,10,11,10,66,10,70,70
QAZW,reptile_gila,block_02,2024-04-16,6ee85647-4297-186c-24fa-c4970441459c,2024-04-16 11:12:32.018475-04:00,2024-04-16 11:22:47.387228-04:00,2,10,11,13,11,75,11,74,66
QAZW,reptile_gila,block_03,2024-04-16,b8103d26-48b2-edb7-9cf6-febff2e0b27b,2024-04-16 11:27:04.499339-04:00,2024-04-16 11:37:19.733358-04:00,2,11,11,14,10,72,10,73,73
QAZW,reptile_gila,block_04,2024-04-16,7dcb719f-46a8-2478-bac5-4da70d64241f,2024-04-16 11:41:35.548627-04:00,2024-04-16 11:51:51.212965-04:00,2,11,11,14,12,76,10,74,76
QPOI,reptile_komodo,pre_survey_game_familiarity,,,,,1,3,1,,,,,,
QPOI,reptile_komodo,block_01,2024-04-09,9e78a544-4fad-2033-7311-4f8a28b2f34f,2024-04-09 12:45:55.566185-04:00,2024-04-09 12:56:11.552493-04:00,1,4,2,16,2,52,2,100,50
QPOI,reptile_komodo,block_02,2024-04-09,505ab3c0-4bfb-f248-a0ff-53be350d22d6,2024-04-09 13:00:27.405583-04:00,2024-04-09 13:10:42.868378-04:00,1,3,6,19,2,89,2,96,77
QPOI,reptile_komodo,block_03,2024-04-09,e27612de-4620-d131-fe94-1d8df7bf34e9,2024-04-09 13:15:14.374021-04:00,2024-04-09 13:25:29.235641-04:00,1,3,1,19,1,100,1,100,100
QPOI,reptile_komodo,block_04,2024-04-09,5d02a094-4bec-a7f8-e7d4-979a9b28ba7c,2024-04-09 13:29:13.404374-04:00,2024-04-09 13:39:30.583512-04:00,1,3,3,20,2,100,1,100,100
QWER,reptile_gila,pre_survey_game_familiarity,,,,,1,1,1,,,,,,
